start_month,channel,avg_roi
2023-01,Content Marketing,9275.164716718471
2023-01,Email,11872.429343607624
2023-01,Paid Search,5324.889370463199
2023-01,Social Media,26156.52251814261
2023-01,Webinar,46584.44390729158
2023-02,Content Marketing,12735.675175636585
2023-02,Email,27530.51783123885
2023-02,Paid Search,5389.345381763293
2023-02,Social Media,2521.7269496109634
2023-02,Webinar,3683.851905026188
2023-03,Content Marketing,153920.77813504823
2023-03,Email,11639.779657807576
2023-03,Paid Search,11186.349756021666
2023-03,Social Media,10124.86387590355
2023-03,Webinar,10817.41131593177
2023-04,Content Marketing,19413.9556790689
2023-04,Email,18379.579002486953
2023-04,Paid Search,11043.023184454323
2023-04,Social Media,14007.859799900541
2023-04,Webinar,2788.4239843105643
2023-05,Content Marketing,8407.057162397225
2023-05,Email,8565.084166315562
2023-05,Paid Search,32514.809169416454
2023-05,Social Media,15959.98198911045
2023-05,Webinar,8257.344597691408
2023-06,Content Marketing,8665.436827266889
2023-06,Email,12391.01833797241
2023-06,Paid Search,8690.138854337358
2023-06,Social Media,15830.200329117008
2023-06,Webinar,507.01752562103513
2023-07,Content Marketing,603.4736218752435
2023-07,Email,3995.2508200987118
2023-07,Paid Search,12878.699886700577
2023-07,Social Media,12374.806859557439
2023-07,Webinar,7540.299763509935
2023-08,Content Marketing,5543.172823471087
2023-08,Email,19245.713965191375
2023-08,Paid Search,10030.284171242918
2023-08,Social Media,4860.935314966618
2023-08,Webinar,14576.450667655066
2023-09,Content Marketing,21033.30905240961
2023-09,Email,39921.88572626715
2023-09,Paid Search,44849.67801982326
2023-09,Social Media,10363.054716891014
2023-09,Webinar,23683.94765902923
2023-10,Content Marketing,12069.164377752953
2023-10,Email,7200.775404815829
2023-10,Paid Search,3609.3261186755117
2023-10,Social Media,31077.272187348586
2023-10,Webinar,2462.8931098361936
2023-11,Content Marketing,19711.11183874995
2023-11,Email,7448.367494321437
2023-11,Paid Search,56953.72706264523
2023-11,Social Media,37699.877326914524
2023-11,Webinar,10878.56501876824
2023-12,Content Marketing,64003.926008787384
2023-12,Email,15810.857111395979
2023-12,Paid Search,13968.961023707805
2023-12,Social Media,10972.667788676285
2023-12,Webinar,2140.150706786332
2024-01,Content Marketing,22343.13687328695
2024-01,Email,15144.238719429317
2024-01,Paid Search,20529.33227458094
2024-01,Social Media,33880.08145207494
2024-01,Webinar,14255.889485678776
2024-02,Content Marketing,14093.26494470747
2024-02,Email,16651.377352887106
2024-02,Paid Search,51847.30541644581
2024-02,Social Media,24631.587317711786
2024-02,Webinar,20496.333333018352
2024-03,Email,741.7350902372737
