invoice_month,active_customers,new_customers,churned_customers,churn_rate_pct,retention_rate_pct,rolling_3m_churn,mom_churn_change,z_score,is_anomaly,nrr_pct
2021-01,246,246,0,0.0,100.0,0.0,0.0,,False,100.0
2021-02,485,239,0,0.0,100.0,0.0,0.0,,False,99.767
2021-03,769,284,0,0.0,100.0,0.0,0.0,,False,99.3612
2021-04,975,206,0,0.0,100.0,0.0,0.0,,False,100.9997
2021-05,1227,252,0,0.0,100.0,0.0,0.0,,False,99.9657
2021-06,1479,252,0,0.0,100.0,0.0,0.0,,False,99.0547
2021-07,1732,253,0,0.0,100.0,0.0,0.0,,False,100.0265
2021-08,1967,235,0,0.0,100.0,0.0,0.0,,False,101.1211
2021-09,2186,219,0,0.0,100.0,0.0,0.0,,False,98.6958
2021-10,2458,272,0,0.0,100.0,0.0,0.0,,False,101.5181
2021-11,2703,245,0,0.0,100.0,0.0,0.0,,False,99.2199
2021-12,2958,255,0,0.0,100.0,0.0,0.0,,False,99.7498
2022-01,3214,256,0,0.0,100.0,0.0,0.0,,False,100.7048
2022-02,3413,199,0,0.0,100.0,0.0,0.0,,False,99.7078
2022-03,3655,242,0,0.0,100.0,0.0,0.0,,False,99.8319
2022-04,3892,237,0,0.0,100.0,0.0,0.0,,False,100.0619
2022-05,4156,264,0,0.0,100.0,0.0,0.0,,False,99.679
2022-06,4381,225,0,0.0,100.0,0.0,0.0,,False,100.5785
2022-07,4620,239,0,0.0,100.0,0.0,0.0,,False,99.4247
2022-08,4856,236,0,0.0,100.0,0.0,0.0,,False,100.05
2022-09,5104,248,0,0.0,100.0,0.0,0.0,,False,99.979
2022-10,5375,271,0,0.0,100.0,0.0,0.0,,False,100.4004
2022-11,5591,216,0,0.0,100.0,0.0,0.0,,False,99.766
2022-12,5816,225,0,0.0,100.0,0.0,0.0,,False,100.2402
2023-01,6053,237,0,0.0,100.0,0.0,0.0,,False,99.4958
2023-02,6295,242,0,0.0,100.0,0.0,0.0,,False,100.086
2023-03,6540,245,0,0.0,100.0,0.0,0.0,,False,100.4292
2023-04,6783,243,0,0.0,100.0,0.0,0.0,,False,99.752
2023-05,7032,249,0,0.0,100.0,0.0,0.0,,False,99.9207
2023-06,7304,272,0,0.0,100.0,0.0,0.0,,False,99.893
2023-07,7531,227,0,0.0,100.0,0.0,0.0,,False,100.115
2023-08,7786,255,0,0.0,100.0,0.0,0.0,,False,100.0185
2023-09,8017,231,0,0.0,100.0,0.0,0.0,,False,100.0303
2023-10,8265,248,0,0.0,100.0,0.0,0.0,,False,100.4183
2023-11,8499,234,0,0.0,100.0,0.0,0.0,,False,99.4533
2023-12,8761,262,0,0.0,100.0,0.0,0.0,,False,99.7926
2024-01,8995,234,0,0.0,100.0,0.0,0.0,,False,100.1871
2024-02,9245,250,0,0.0,100.0,0.0,0.0,,False,100.3244
2024-03,9502,257,0,0.0,100.0,0.0,0.0,,False,99.6287
2024-04,9761,259,0,0.0,100.0,0.0,0.0,,False,99.7033
2024-05,9996,235,0,0.0,100.0,0.0,0.0,,False,100.7041
2024-06,10000,4,0,0.0,100.0,0.0,0.0,,False,99.8066
