cohort,period_0,period_1,period_2,period_3,period_4,period_5,period_6,cohort_size
2021-Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,769
2021-Q2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,710
2021-Q3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,707
2021-Q4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,772
2022-Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,697
2022-Q2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,726
2022-Q3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,723
2022-Q4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,712
2023-Q1,100.0,100.0,100.0,100.0,100.0,100.0,0.0,724
2023-Q2,100.0,100.0,100.0,100.0,100.0,0.0,0.0,764
2023-Q3,100.0,100.0,100.0,100.0,0.0,0.0,0.0,713
2023-Q4,100.0,100.0,100.0,0.0,0.0,0.0,0.0,744
2024-Q1,100.0,100.0,0.0,0.0,0.0,0.0,0.0,741
2024-Q2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,498
