access_month,API,Alerts,Analytics,Dashboard,Export,Integrations,Reports
2023-01,327,244,591,712,197,302,557
2023-02,342,215,511,632,184,288,464
2023-03,352,252,561,690,211,314,500
2023-04,294,223,519,735,226,301,521
2023-05,378,219,568,723,213,280,513
2023-06,312,231,567,684,224,296,510
2023-07,368,248,584,721,195,303,488
2023-08,383,256,590,675,209,281,499
2023-09,349,245,551,682,212,278,473
2023-10,336,240,598,726,209,309,566
2023-11,354,215,575,696,190,287,498
2023-12,316,235,584,753,223,327,540
2024-01,380,227,599,762,223,273,482
2024-02,351,218,525,695,202,268,524
2024-03,374,238,572,714,189,302,530
2024-04,352,209,556,683,219,298,515
2024-05,343,223,561,728,191,287,545
2024-06,14,3,14,18,7,13,14
