invoice_month,total_mrr,mom_change,mom_pct_change,rolling_3m_avg,cumulative_revenue,z_score,is_anomaly,nrr_pct
2021-01,98973.84,0.0,0.0,98973.84,98973.84,-1.6832,True,100.0
2021-02,190164.3,91190.45999999999,92.1359,144569.07,289138.14,-1.6019,True,99.767
2021-03,297734.79,107570.48999999999,56.5671,195624.30999999997,586872.9299999999,-1.506,True,99.3612
2021-04,375401.66,77666.87,26.0859,287766.9166666667,962274.5899999999,-1.4367,False,100.9997
2021-05,474454.44,99052.78000000003,26.3858,382530.29666666663,1436729.0299999998,-1.3484,False,99.9657
2021-06,559646.75,85192.31,17.9558,469834.2833333334,1996375.7799999998,-1.2725,False,99.0547
2021-07,656458.03,96811.28000000003,17.2986,563519.7400000001,2652833.8099999996,-1.1861,False,100.0265
2021-08,751807.99,95349.95999999996,14.5249,655970.9233333333,3404641.8,-1.1011,False,101.1211
2021-09,823974.32,72166.32999999996,9.599,744080.1133333333,4228616.12,-1.0368,False,98.6958
2021-10,938474.27,114499.95000000007,13.8961,838085.5266666667,5167090.390000001,-0.9347,False,101.5181
2021-11,1017655.16,79180.89000000001,8.4372,926701.25,6184745.550000001,-0.8641,False,99.2199
2021-12,1104737.28,87082.12,8.5571,1020288.9033333333,7289482.830000001,-0.7864,False,99.7498
2022-01,1211360.66,106623.37999999989,9.6515,1111251.0333333334,8500843.49,-0.6914,False,100.7048
2022-02,1277832.16,66471.5,5.4873,1197976.7,9778675.65,-0.6321,False,99.7078
2022-03,1370625.75,92793.59000000008,7.2618,1286606.1900000002,11149301.4,-0.5494,False,99.8319
2022-04,1452734.33,82108.58000000007,5.9906,1367064.08,12602035.73,-0.4761,False,100.0619
2022-05,1555330.5,102596.16999999993,7.0623,1459563.5266666666,14157366.23,-0.3847,False,99.679
2022-06,1657578.21,102247.70999999996,6.574,1555214.3466666667,15814944.440000001,-0.2935,False,100.5785
2022-07,1737932.26,80354.05000000005,4.8477,1650280.3233333335,17552876.700000003,-0.2219,False,99.4247
2022-08,1831514.46,93582.19999999995,5.3847,1742341.6433333333,19384391.160000004,-0.1384,False,100.05
2022-09,1925886.29,94371.83000000007,5.1527,1831777.67,21310277.450000003,-0.0543,False,99.979
2022-10,2034840.94,108954.6499999999,5.6574,1930747.2300000002,23345118.390000004,0.0429,False,100.4004
2022-11,2111439.16,76598.2200000002,3.7643,2024055.4633333336,25456557.550000004,0.1112,False,99.766
2022-12,2199004.63,87565.46999999974,4.1472,2115094.91,27655562.180000003,0.1893,False,100.2402
2023-01,2281414.22,82409.59000000032,3.7476,2197286.0033333334,29936976.400000002,0.2627,False,99.4958
2023-02,2376822.43,95408.20999999996,4.182,2285747.0933333333,32313798.830000002,0.3478,False,100.086
2023-03,2478845.82,102023.38999999966,4.2924,2379027.49,34792644.65,0.4388,False,100.4292
2023-04,2576701.41,97855.59000000032,3.9476,2477456.553333333,37369346.06,0.526,False,99.752
2023-05,2675349.77,98648.35999999987,3.8285,2576965.6666666665,40044695.830000006,0.614,False,99.9207
2023-06,2786903.22,111553.45000000019,4.1697,2679651.466666667,42831599.050000004,0.7135,False,99.893
2023-07,2867599.71,80696.48999999976,2.8956,2776617.5666666664,45699198.760000005,0.7854,False,100.115
2023-08,2965598.42,97998.70999999996,3.4174,2873367.1166666667,48664797.18000001,0.8728,False,100.0185
2023-09,3058949.28,93350.85999999987,3.1478,2964049.1366666667,51723746.46000001,0.956,False,100.0303
2023-10,3168150.3,109201.02000000002,3.5699,3064232.6666666665,54891896.760000005,1.0534,False,100.4183
2023-11,3239323.97,71173.67000000039,2.2465,3155474.516666667,58131220.730000004,1.1168,False,99.4533
2023-12,3339560.56,100236.58999999985,3.0944,3249011.61,61470781.29000001,1.2062,False,99.7926
2024-01,3431055.98,91495.41999999993,2.7397,3336646.8366666664,64901837.27,1.2878,False,100.1871
2024-02,3539701.46,108645.47999999998,3.1665,3436772.6666666665,68441538.73,1.3847,False,100.3244
2024-03,3643081.24,103379.78000000026,2.9206,3537946.2266666666,72084619.97,1.4769,False,99.6287
2024-04,3713424.03,70342.78999999957,1.9309,3632068.91,75798044.0,1.5396,True,99.7033
2024-05,3825874.79,112450.76000000024,3.0282,3727460.02,79623918.79,1.6398,True,100.7041
2024-06,3819504.43,-6370.35999999987,-0.1665,3786267.75,83443423.22000001,1.6342,True,99.8066
