category,priority,ticket_count,avg_resolution_hours,avg_satisfaction
Account,Critical,340,6.622641509433962,3.908805031446541
Account,High,602,12.494718309859154,3.9577464788732395
Account,Low,888,47.9186320754717,3.6544811320754715
Account,Medium,1083,27.901258470474346,3.866408518877057
Billing,Critical,511,6.55441478439425,3.3819301848049284
Billing,High,1011,12.91710388247639,3.4375655823714584
Billing,Low,1484,48.29807005003574,3.1322373123659757
Billing,Medium,1976,28.17722192655668,3.335816923895689
Bug Report,Critical,229,6.744292237442922,3.401826484018265
Bug Report,High,390,13.336021505376344,3.3736559139784945
Bug Report,Low,611,48.451114922813034,3.1578044596912522
Bug Report,Medium,799,27.964,3.3426666666666667
Feature Request,Critical,387,6.591397849462366,3.9166666666666665
Feature Request,High,807,12.869451697127937,3.9177545691906004
Feature Request,Low,1170,47.36543654365437,3.687668766876688
Feature Request,Medium,1642,27.74293059125964,3.840616966580977
Technical,Critical,586,6.61319073083779,3.909090909090909
Technical,High,1222,13.161764705882353,3.8953287197231834
Technical,Low,1867,48.139013452914796,3.666479820627803
Technical,Medium,2395,28.04707435107787,3.8389793224813022
