campaign_id,channel,target_segment,impressions,ctr,clicks,leads,conversions,cost,revenue_generated,roi,start_date,end_date,campaign_duration_days,cost_per_lead,cost_per_conversion
CAMP_333,Email,Enterprise,150906,0.0529998807204484,7998,1964,190,774,2543323.79,328494.8049095607,2023-09-23,2023-11-09,47,0.3940936863543788,4.073684210526316
CAMP_104,Paid Search,Enterprise,469330,0.1137983934544989,53409,10453,1843,12655,30954552.89,244503.3416831292,2023-11-20,2024-01-15,56,1.2106572275901657,6.866521975040695
CAMP_045,Social Media,All,406913,0.0788989292551479,32105,2063,382,680,1573025.74,231227.3147058824,2024-02-24,2024-03-25,30,0.3296170625302957,1.780104712041885
CAMP_429,Social Media,Enterprise,29626,0.1413960710186998,4189,648,78,513,1033242.35,201311.7641325536,2024-01-10,2024-01-27,17,0.7916666666666666,6.576923076923077
CAMP_408,Paid Search,Enterprise,414426,0.0496976541047135,20596,4620,425,2599,5190054.39,199594.28203155057,2023-09-13,2023-11-02,50,0.5625541125541126,6.115294117647059
CAMP_204,Content Marketing,Enterprise,268946,0.0350999828961947,9440,1542,264,2134,3944413.76,184736.633552015,2023-12-12,2024-01-30,49,1.383916990920882,8.083333333333334
CAMP_079,Webinar,Enterprise,392972,0.096098449762324,37764,2143,123,1079,1887215.36,174804.11121408714,2023-09-27,2023-11-01,35,0.5034997666822212,8.772357723577235
CAMP_427,Paid Search,Mid-Market,347095,0.0987971592791598,34292,6026,1146,3086,4925358.15,159503.310110175,2024-02-18,2024-03-04,15,0.5121141719216727,2.6928446771378707
CAMP_258,Content Marketing,Enterprise,390480,0.06749897561975,26357,4891,488,5287,8143078.54,153920.77813504823,2023-03-08,2023-03-28,20,1.0809650378245756,10.834016393442624
CAMP_157,Social Media,Enterprise,185787,0.1243951406718446,23111,4569,906,11241,16306385.07,144961.69442220443,2023-11-10,2023-12-18,38,2.4602757715036114,12.40728476821192
