customer_id,segment,region,plan_type,total_revenue,tenure_days,churn_risk_score
CUST_01894,Mid-Market,East,Enterprise,43505.46,1963,20.0
CUST_04227,Enterprise,North,Enterprise,42950.41,1972,20.0
CUST_01914,SMB,West,Enterprise,42110.93,1975,20.0
CUST_04917,SMB,West,Enterprise,42031.79,1976,20.0
CUST_07445,Mid-Market,South,Enterprise,42019.23,1975,20.0
CUST_08190,Mid-Market,International,Enterprise,41826.7,1909,35.0
CUST_01432,Mid-Market,West,Enterprise,41804.71,1970,20.0
CUST_03419,SMB,South,Enterprise,41773.75,1958,20.0
CUST_00868,Enterprise,East,Enterprise,41738.16,1970,20.0
CUST_05820,Enterprise,East,Enterprise,41531.43,1957,20.0
CUST_04403,Mid-Market,International,Enterprise,41410.58,1971,20.0
CUST_09501,Enterprise,North,Enterprise,41405.99,1971,20.0
CUST_06421,Enterprise,East,Enterprise,41373.27,1968,20.0
CUST_01276,SMB,South,Enterprise,41313.12,1957,20.0
CUST_06529,SMB,North,Enterprise,41254.86,1977,20.0
CUST_03550,Mid-Market,East,Enterprise,41168.45,1970,35.0
CUST_03915,Enterprise,South,Enterprise,41154.62,1960,20.0
CUST_07510,Enterprise,East,Enterprise,41153.59,1929,20.0
CUST_05659,SMB,North,Enterprise,41073.45,1935,20.0
CUST_05359,Mid-Market,North,Enterprise,40990.92,1961,35.0
CUST_01126,SMB,South,Enterprise,40924.99,1962,20.0
CUST_09277,SMB,East,Enterprise,40874.97,1936,20.0
CUST_02624,Enterprise,International,Enterprise,40862.73,1962,20.0
CUST_03481,Mid-Market,West,Enterprise,40861.56,1947,20.0
CUST_09081,Mid-Market,South,Enterprise,40838.41,1937,35.0
CUST_04819,Mid-Market,South,Enterprise,40823.37,1975,20.0
CUST_03194,SMB,East,Enterprise,40813.3,1951,20.0
CUST_02378,Enterprise,North,Enterprise,40713.73,1970,20.0
CUST_08917,SMB,North,Enterprise,40696.95,1979,20.0
CUST_01288,SMB,East,Enterprise,40688.8,1947,20.0
CUST_06381,Enterprise,South,Enterprise,40621.5,1938,20.0
CUST_09264,SMB,East,Enterprise,40565.35,1967,20.0
CUST_07870,SMB,North,Enterprise,40511.98,1979,20.0
