segment,feature,mean_usage_count,mean_session_minutes
Enterprise,API,20.901,27.426
Enterprise,Alerts,20.354,25.432
Enterprise,Analytics,21.064,27.307
Enterprise,Dashboard,21.1,26.977
Enterprise,Export,19.919,27.883
Enterprise,Integrations,20.541,28.661
Enterprise,Reports,21.451,27.424
Mid-Market,API,21.731,27.648
Mid-Market,Alerts,21.579,27.151
Mid-Market,Analytics,21.17,27.271
Mid-Market,Dashboard,21.508,27.086
Mid-Market,Export,20.573,27.197
Mid-Market,Integrations,21.336,27.373
Mid-Market,Reports,21.184,27.49
SMB,API,21.329,27.541
SMB,Alerts,21.341,26.716
SMB,Analytics,21.056,26.732
SMB,Dashboard,21.124,27.334
SMB,Export,21.234,27.849
SMB,Integrations,21.334,28.294
SMB,Reports,20.976,26.589
