campaign_id,channel,target_segment,impressions,ctr,clicks,leads,conversions,cost,revenue_generated,roi,start_date,end_date,campaign_duration_days,cost_per_lead,cost_per_conversion
CAMP_478,Webinar,SMB,1598,0.0225281602002503,36,7,0,23420,0.0,-100.0,2024-02-10,2024-03-11,30,3345.714285714286,
CAMP_081,Email,SMB,3722,0.0977968833960236,364,70,4,31302,4304.87,-86.24730049198135,2023-10-30,2023-11-09,10,447.1714285714286,7825.5
CAMP_200,Content Marketing,All,11787,0.0522609654704335,616,50,3,40661,10212.12,-74.88472983940385,2023-04-06,2023-05-22,46,813.22,13553.666666666666
CAMP_280,Content Marketing,All,2948,0.10719131614654,316,68,4,48191,16002.47,-66.79365441679982,2023-05-02,2023-05-11,9,708.6911764705883,12047.75
CAMP_430,Social Media,All,7314,0.0354115395132622,259,46,4,41979,15327.45,-63.48781533623955,2023-05-25,2023-06-01,7,912.5869565217392,10494.75
CAMP_087,Webinar,SMB,24333,0.0112604282250441,274,31,5,12129,5464.19,-54.94937752494023,2023-09-22,2023-09-29,7,391.258064516129,2425.8
CAMP_041,Content Marketing,SMB,53609,0.0715924564905146,3838,338,17,47813,21816.52,-54.3711542885826,2023-10-07,2023-11-28,52,141.45857988165682,2812.529411764706
CAMP_301,Email,All,49852,0.0187956350798363,937,52,5,45092,22878.84,-49.26186463230729,2023-09-23,2023-11-10,48,867.1538461538462,9018.4
CAMP_361,Paid Search,All,13515,0.0352941176470588,477,47,9,48558,37142.18,-23.509658552658674,2023-08-26,2023-09-30,35,1033.148936170213,5395.333333333333
CAMP_295,Social Media,Mid-Market,14037,0.0683906817696088,960,75,4,22646,17527.27,-22.60324119049722,2023-03-29,2023-05-12,44,301.94666666666666,5661.5
