customer_id,churn_date,churn_reason,last_activity_date,days_since_last_activity,segment,region,plan_type,signup_date,churn_month
CUST_00001,2024-06-23,Price,2024-05-11,43,SMB,South,Basic,2022-04-03,2024-06
CUST_00008,2024-06-05,Competitor,2024-05-29,7,SMB,South,Enterprise,2024-02-05,2024-06
CUST_00011,2024-06-04,Product Gap,2024-04-26,39,SMB,East,Basic,2023-01-18,2024-06
CUST_00017,2024-06-13,Product Gap,2024-04-28,46,SMB,East,Enterprise,2021-10-20,2024-06
CUST_00023,2024-06-21,Support Issues,2024-05-30,22,SMB,East,Basic,2021-08-17,2024-06
CUST_00033,2024-06-16,Price,2024-04-22,55,SMB,East,Pro,2021-09-05,2024-06
CUST_00039,2024-06-22,Business Closure,2024-05-31,22,Mid-Market,North,Enterprise,2021-07-21,2024-06
CUST_00040,2024-06-25,Competitor,2024-06-14,11,SMB,North,Enterprise,2022-01-28,2024-06
CUST_00042,2024-06-19,Price,2024-05-05,45,Enterprise,International,Enterprise,2021-07-20,2024-06
CUST_00043,2024-06-13,Competitor,2024-05-04,40,SMB,International,Enterprise,2022-04-30,2024-06
CUST_00044,2024-06-04,Competitor,2024-05-01,34,SMB,South,Basic,2021-05-01,2024-06
CUST_00046,2024-06-07,Price,2024-05-21,17,SMB,West,Pro,2023-09-24,2024-06
CUST_00047,2024-06-27,Price,2024-05-11,47,Mid-Market,East,Enterprise,2024-01-16,2024-06
CUST_00048,2024-06-23,Business Closure,2024-04-26,58,Mid-Market,East,Basic,2023-12-24,2024-06
CUST_00049,2024-07-01,Support Issues,2024-06-15,16,SMB,North,Basic,2024-05-03,2024-07
CUST_00050,2024-06-26,Competitor,2024-06-06,20,SMB,International,Pro,2024-03-12,2024-06
CUST_00058,2024-06-07,Price,2024-05-29,9,SMB,North,Enterprise,2021-10-03,2024-06
CUST_00063,2024-06-23,Price,2024-06-12,11,Mid-Market,East,Pro,2021-08-18,2024-06
CUST_00068,2024-06-11,Product Gap,2024-05-30,12,SMB,International,Enterprise,2021-02-20,2024-06
CUST_00069,2024-06-26,Price,2024-06-19,7,SMB,South,Enterprise,2022-05-24,2024-06
CUST_00070,2024-06-07,Support Issues,2024-05-07,31,SMB,International,Basic,2023-08-22,2024-06
CUST_00071,2024-06-17,Product Gap,2024-06-10,7,SMB,South,Pro,2022-04-12,2024-06
CUST_00076,2024-06-07,Business Closure,2024-04-19,49,SMB,International,Basic,2022-01-25,2024-06
CUST_00078,2024-06-30,Support Issues,2024-06-22,8,SMB,North,Pro,2023-06-03,2024-06
CUST_00088,2024-06-11,Support Issues,2024-04-23,49,SMB,East,Enterprise,2024-03-24,2024-06
CUST_00090,2024-06-14,Competitor,2024-04-22,53,SMB,West,Enterprise,2022-03-25,2024-06
CUST_00100,2024-06-19,Product Gap,2024-04-23,57,Enterprise,East,Enterprise,2023-09-04,2024-06
CUST_00102,2024-06-11,Competitor,2024-05-25,17,SMB,International,Enterprise,2023-09-27,2024-06
CUST_00104,2024-06-02,Product Gap,2024-04-20,43,SMB,International,Enterprise,2023-12-30,2024-06
CUST_00105,2024-06-23,Business Closure,2024-04-27,57,Mid-Market,North,Pro,2023-05-28,2024-06
CUST_00114,2024-06-18,Business Closure,2024-05-23,26,SMB,International,Basic,2022-02-11,2024-06
CUST_00117,2024-07-01,Support Issues,2024-06-14,17,Mid-Market,East,Basic,2022-11-30,2024-07
CUST_00123,2024-06-21,Support Issues,2024-06-07,14,SMB,East,Basic,2022-10-28,2024-06
CUST_00131,2024-06-26,Support Issues,2024-06-02,24,SMB,North,Pro,2023-09-19,2024-06
CUST_00133,2024-06-16,Competitor,2024-05-29,18,Mid-Market,South,Basic,2023-12-30,2024-06
CUST_00136,2024-06-16,Price,2024-05-19,28,Mid-Market,North,Basic,2023-09-06,2024-06
CUST_00138,2024-06-22,Business Closure,2024-06-01,21,SMB,North,Enterprise,2022-05-24,2024-06
CUST_00144,2024-06-04,Product Gap,2024-04-25,40,Enterprise,South,Basic,2023-07-19,2024-06
CUST_00150,2024-06-14,Price,2024-05-16,29,SMB,West,Enterprise,2024-05-21,2024-06
CUST_00152,2024-06-25,Competitor,2024-06-15,10,Enterprise,West,Enterprise,2024-03-26,2024-06
CUST_00153,2024-06-18,Price,2024-05-10,39,SMB,West,Pro,2022-07-24,2024-06
CUST_00156,2024-06-04,Product Gap,2024-05-21,14,SMB,International,Basic,2024-02-01,2024-06
CUST_00170,2024-06-13,Support Issues,2024-04-28,46,SMB,North,Enterprise,2023-02-24,2024-06
CUST_00177,2024-06-05,Business Closure,2024-04-15,51,Mid-Market,West,Pro,2024-01-14,2024-06
CUST_00180,2024-06-21,Support Issues,2024-06-06,15,SMB,North,Enterprise,2021-04-25,2024-06
CUST_00192,2024-06-16,Support Issues,2024-04-23,54,SMB,South,Pro,2023-06-22,2024-06
CUST_00198,2024-06-26,Support Issues,2024-06-09,17,SMB,West,Basic,2021-01-29,2024-06
CUST_00202,2024-06-17,Competitor,2024-04-18,60,SMB,West,Pro,2023-04-17,2024-06
CUST_00206,2024-06-29,Support Issues,2024-05-31,29,SMB,South,Enterprise,2023-01-29,2024-06
CUST_00211,2024-07-01,Price,2024-05-24,38,SMB,West,Basic,2024-02-10,2024-07
CUST_00214,2024-06-05,Business Closure,2024-04-30,36,SMB,International,Basic,2021-09-27,2024-06
CUST_00215,2024-06-07,Price,2024-05-08,30,SMB,South,Basic,2021-12-23,2024-06
CUST_00217,2024-06-08,Competitor,2024-05-09,30,SMB,North,Pro,2023-10-29,2024-06
CUST_00226,2024-06-28,Price,2024-06-13,15,Mid-Market,International,Basic,2021-05-18,2024-06
CUST_00230,2024-06-06,Price,2024-04-09,58,SMB,East,Enterprise,2022-12-22,2024-06
CUST_00233,2024-06-24,Competitor,2024-05-12,43,SMB,West,Enterprise,2024-02-15,2024-06
CUST_00234,2024-06-08,Price,2024-04-16,53,SMB,South,Enterprise,2022-01-05,2024-06
CUST_00236,2024-06-12,Competitor,2024-05-02,41,SMB,North,Pro,2021-03-04,2024-06
CUST_00240,2024-06-14,Support Issues,2024-05-16,29,SMB,South,Pro,2022-07-14,2024-06
CUST_00242,2024-06-09,Business Closure,2024-05-20,20,SMB,South,Basic,2024-05-12,2024-06
CUST_00245,2024-06-28,Competitor,2024-06-18,10,SMB,West,Pro,2022-12-27,2024-06
CUST_00247,2024-06-13,Business Closure,2024-05-16,28,SMB,West,Pro,2023-05-06,2024-06
