cohort,period_number,active_customers,cohort_size,retention_pct
2021-Q1,0,769,769,100.0
2021-Q1,1,769,769,100.0
2021-Q1,2,769,769,100.0
2021-Q1,3,769,769,100.0
2021-Q1,4,769,769,100.0
2021-Q1,5,769,769,100.0
2021-Q1,6,769,769,100.0
2021-Q2,0,710,710,100.0
2021-Q2,1,710,710,100.0
2021-Q2,2,710,710,100.0
2021-Q2,3,710,710,100.0
2021-Q2,4,710,710,100.0
2021-Q2,5,710,710,100.0
2021-Q2,6,710,710,100.0
2021-Q3,0,707,707,100.0
2021-Q3,1,707,707,100.0
2021-Q3,2,707,707,100.0
2021-Q3,3,707,707,100.0
2021-Q3,4,707,707,100.0
2021-Q3,5,707,707,100.0
2021-Q3,6,707,707,100.0
2021-Q4,0,772,772,100.0
2021-Q4,1,772,772,100.0
2021-Q4,2,772,772,100.0
2021-Q4,3,772,772,100.0
2021-Q4,4,772,772,100.0
2021-Q4,5,772,772,100.0
2021-Q4,6,772,772,100.0
2022-Q1,0,697,697,100.0
2022-Q1,1,697,697,100.0
2022-Q1,2,697,697,100.0
2022-Q1,3,697,697,100.0
2022-Q1,4,697,697,100.0
2022-Q1,5,697,697,100.0
2022-Q1,6,697,697,100.0
2022-Q2,0,726,726,100.0
2022-Q2,1,726,726,100.0
2022-Q2,2,726,726,100.0
2022-Q2,3,726,726,100.0
2022-Q2,4,726,726,100.0
2022-Q2,5,726,726,100.0
2022-Q2,6,726,726,100.0
2022-Q3,0,723,723,100.0
2022-Q3,1,723,723,100.0
2022-Q3,2,723,723,100.0
2022-Q3,3,723,723,100.0
2022-Q3,4,723,723,100.0
2022-Q3,5,723,723,100.0
2022-Q3,6,723,723,100.0
2022-Q4,0,712,712,100.0
2022-Q4,1,712,712,100.0
2022-Q4,2,712,712,100.0
2022-Q4,3,712,712,100.0
2022-Q4,4,712,712,100.0
2022-Q4,5,712,712,100.0
2022-Q4,6,712,712,100.0
2023-Q1,0,724,724,100.0
2023-Q1,1,724,724,100.0
2023-Q1,2,724,724,100.0
2023-Q1,3,724,724,100.0
2023-Q1,4,724,724,100.0
2023-Q1,5,724,724,100.0
2023-Q1,6,0,724,0.0
2023-Q2,0,764,764,100.0
2023-Q2,1,764,764,100.0
2023-Q2,2,764,764,100.0
2023-Q2,3,764,764,100.0
2023-Q2,4,764,764,100.0
2023-Q2,5,0,764,0.0
2023-Q2,6,0,764,0.0
2023-Q3,0,713,713,100.0
2023-Q3,1,713,713,100.0
2023-Q3,2,713,713,100.0
2023-Q3,3,713,713,100.0
2023-Q3,4,0,713,0.0
2023-Q3,5,0,713,0.0
2023-Q3,6,0,713,0.0
2023-Q4,0,744,744,100.0
2023-Q4,1,744,744,100.0
2023-Q4,2,744,744,100.0
2023-Q4,3,0,744,0.0
2023-Q4,4,0,744,0.0
2023-Q4,5,0,744,0.0
2023-Q4,6,0,744,0.0
2024-Q1,0,741,741,100.0
2024-Q1,1,741,741,100.0
2024-Q1,2,0,741,0.0
2024-Q1,3,0,741,0.0
2024-Q1,4,0,741,0.0
2024-Q1,5,0,741,0.0
2024-Q1,6,0,741,0.0
2024-Q2,0,498,498,100.0
2024-Q2,1,0,498,0.0
2024-Q2,2,0,498,0.0
2024-Q2,3,0,498,0.0
2024-Q2,4,0,498,0.0
2024-Q2,5,0,498,0.0
2024-Q2,6,0,498,0.0
