campaign_id,channel,target_segment,impressions,ctr,clicks,leads,conversions,cost,revenue_generated,roi,start_date,end_date,campaign_duration_days,cost_per_lead,cost_per_conversion
CAMP_001,Social Media,Mid-Market,345452,0.014798003774764656,5112,1233,153,9835,806266.77,8097.9336044738175,2023-07-18,2023-08-31,44,7.976480129764801,64.28104575163398
CAMP_002,Paid Search,Mid-Market,67657,0.06259514906070325,4235,758,44,44885,222139.5,394.90809847387766,2023-06-20,2023-08-09,50,59.215039577836414,1020.1136363636364
CAMP_003,Webinar,All,356258,0.014298626276462563,5094,1135,106,36260,375178.78,934.6905129619415,2023-05-11,2023-06-03,23,31.94713656387665,342.07547169811323
CAMP_004,Email,Mid-Market,282220,0.07979944723974204,22521,3370,376,24236,2073326.81,8454.740097375805,2023-06-13,2023-07-20,37,7.191691394658753,64.45744680851064
CAMP_005,Paid Search,All,261153,0.09369986176685698,24470,1231,211,8103,976216.89,11947.598296927064,2023-06-14,2023-07-02,18,6.582453290008123,38.40284360189573
CAMP_006,Social Media,SMB,64330,0.07358930514534431,4734,333,27,20222,35505.32,75.57768766689745,2023-08-23,2023-10-02,40,60.726726726726724,748.9629629629629
CAMP_007,Social Media,All,364201,0.029799478859201374,10853,1385,259,43290,841739.58,1844.420374220374,2023-04-01,2023-05-30,59,31.256317689530686,167.14285714285714
CAMP_008,Social Media,SMB,162821,0.10719747452724157,17454,1711,133,42569,147911.83,247.4637177288637,2023-12-01,2023-12-25,24,24.87960257159556,320.0676691729323
CAMP_009,Webinar,SMB,319277,0.10119739285949192,32310,3317,359,24045,349890.67,1355.1493865668538,2023-07-25,2023-08-28,34,7.249020198974978,66.97771587743732
CAMP_010,Content Marketing,Mid-Market,55705,0.0630823085898932,3514,230,25,42373,107028.0,152.58537276095626,2023-07-19,2023-08-06,18,184.23043478260868,1694.92
CAMP_011,Webinar,All,320677,0.10479703876486308,33606,7405,976,24866,4188909.78,16745.933322609184,2023-05-12,2023-05-25,13,3.358001350438893,25.477459016393443
CAMP_012,Social Media,All,210876,0.1120990534721827,23639,1214,150,32525,614886.11,1790.5030284396616,2023-01-24,2023-03-15,50,26.79159802306425,216.83333333333334
CAMP_013,Webinar,Mid-Market,148412,0.021898498773684067,3250,481,47,5634,229721.29,3977.410188143415,2023-09-18,2023-10-18,30,11.713097713097714,119.87234042553192
CAMP_014,Webinar,Mid-Market,62473,0.12589438637491396,7865,813,154,35700,618301.99,1631.9383473389355,2023-09-27,2023-11-10,44,43.91143911439114,231.8181818181818
CAMP_015,Paid Search,Enterprise,37417,0.037977389956436916,1421,246,38,44637,615360.45,1278.588278782176,2023-01-23,2023-02-21,29,181.4512195121951,1174.657894736842
CAMP_016,Social Media,All,9737,0.05792338502618877,564,50,2,8474,7264.73,-14.270356384234134,2023-09-19,2023-10-15,26,169.48,4237.0
CAMP_017,Content Marketing,SMB,456882,0.1416996073384375,64740,14796,1975,10986,2778750.0,25193.55543418897,2023-01-28,2023-03-21,52,0.7424979724249797,5.56253164556962
CAMP_018,Paid Search,Enterprise,95627,0.07969506520125069,7621,519,80,13074,989434.58,7467.956096068532,2023-03-12,2023-04-13,32,25.190751445086704,163.425
CAMP_019,Social Media,All,449312,0.014698027206039455,6604,434,68,11679,299102.4,2461.0274852299,2023-09-11,2023-10-25,44,26.910138248847925,171.75
CAMP_020,Email,Enterprise,331747,0.014697947532306245,4876,1101,169,42498,2989002.24,6933.277424819992,2023-02-01,2023-03-26,53,38.59945504087194,251.46745562130178
CAMP_021,Email,Mid-Market,213733,0.05209771069511961,11135,1452,271,34968,1275159.58,3546.6471631205677,2023-01-24,2023-02-07,14,24.082644628099175,129.03321033210332
CAMP_022,Social Media,Mid-Market,360401,0.14389804689776112,51861,11637,746,42345,3452295.72,8052.782430038967,2023-05-20,2023-07-13,54,3.6388244392884763,56.7627345844504
CAMP_023,Email,Mid-Market,48516,0.1260821172396735,6117,480,39,39459,156834.06,297.46080742036037,2023-05-13,2023-05-27,14,82.20625,1011.7692307692307
CAMP_024,Webinar,Enterprise,328200,0.021898232784887263,7187,1270,239,24517,3060718.68,12384.066892360404,2023-11-12,2023-11-27,15,19.30472440944882,102.581589958159
CAMP_025,Paid Search,SMB,69506,0.08889880010358818,6179,328,60,43064,61457.14,42.71117406650566,2023-09-10,2023-10-12,32,131.29268292682926,717.7333333333333
CAMP_026,Content Marketing,Enterprise,316153,0.09749709792410637,30824,7616,710,22536,11560786.0,51199.192403265886,2024-01-05,2024-03-05,60,2.9590336134453783,31.740845070422534
CAMP_027,Paid Search,Enterprise,458116,0.056099328554339946,25700,2707,530,27356,7052576.74,25680.730881707852,2023-05-27,2023-07-16,50,10.105652013298855,51.615094339622644
CAMP_028,Email,SMB,487498,0.04469967056275102,21791,5215,702,46507,965873.83,1976.835379620272,2023-01-25,2023-02-04,10,8.917929050814957,66.24928774928775
CAMP_029,Webinar,Enterprise,484689,0.10729973240572821,52007,9586,1801,44746,30792461.77,68716.12159746123,2024-01-19,2024-03-07,48,4.667848946380138,24.84508606329817
CAMP_030,Email,SMB,374060,0.046497888039351974,17393,1525,224,18082,227762.67,1159.6099435903109,2023-03-22,2023-04-22,31,11.857049180327868,80.72321428571429
CAMP_031,Webinar,All,428065,0.08309952927709577,35572,5185,556,47796,1988131.85,4059.6197380533936,2023-03-18,2023-05-11,54,9.218129218900675,85.96402877697842
CAMP_032,Paid Search,All,116675,0.0948960788515106,11072,1195,134,27791,531282.7,1811.7077471123744,2023-10-30,2023-11-11,12,23.256066945606694,207.3955223880597
CAMP_033,Paid Search,All,488488,0.14069946446995626,68730,7971,1214,23818,4318070.15,18029.4405491645,2023-01-23,2023-02-26,34,2.988081796512357,19.61943986820428
CAMP_034,Webinar,All,457122,0.021298471742773262,9736,2395,377,33457,1799742.46,5279.270287234361,2023-04-29,2023-06-10,42,13.969519832985386,88.74535809018568
CAMP_035,Paid Search,Mid-Market,76580,0.06439018020370854,4931,1126,87,41924,351416.27,738.2221877683428,2023-02-25,2023-03-21,24,37.232682060390765,481.88505747126436
CAMP_036,Webinar,Mid-Market,25447,0.11836365779856171,3012,518,93,3814,395781.36,10277.067645516518,2023-01-18,2023-03-11,52,7.362934362934363,41.01075268817204
CAMP_037,Email,Mid-Market,244408,0.13529835357271447,33068,2841,509,12210,2583881.19,21062.008108108108,2024-01-24,2024-02-01,8,4.29778247096093,23.98821218074656
CAMP_038,Email,All,10887,0.09157711031505465,997,87,9,4855,39435.12,712.2578784757982,2023-10-26,2023-12-12,47,55.804597701149426,539.4444444444445
CAMP_039,Webinar,All,229123,0.012299070804764254,2818,192,36,6542,126665.84,1836.1944359523084,2023-04-23,2023-05-10,17,34.072916666666664,181.72222222222223
CAMP_040,Social Media,Mid-Market,83288,0.06939775237729325,5780,408,79,1986,327796.35,16405.35498489426,2023-01-02,2023-02-05,34,4.867647058823529,25.139240506329113
CAMP_041,Content Marketing,SMB,53609,0.07159245649051466,3838,338,17,47813,21816.52,-54.3711542885826,2023-10-07,2023-11-28,52,141.45857988165682,2812.529411764706
CAMP_042,Email,Enterprise,170891,0.10969565395486011,18746,2295,263,36255,3910143.91,10685.116287408635,2023-07-21,2023-08-27,37,15.797385620915033,137.85171102661596
CAMP_043,Email,Enterprise,90028,0.12229528591104989,11010,1509,94,30959,1204640.57,3791.083594431345,2023-03-19,2023-05-05,47,20.516235917826375,329.3510638297872
CAMP_044,Webinar,SMB,131044,0.11499954213851836,15070,1922,150,37097,199824.47,438.65398819311537,2023-08-22,2023-10-14,53,19.301248699271593,247.31333333333333
CAMP_045,Social Media,All,406913,0.07889892925514791,32105,2063,382,680,1573025.74,231227.31470588237,2024-02-24,2024-03-25,30,0.3296170625302957,1.780104712041885
CAMP_046,Paid Search,Mid-Market,470000,0.1374,64578,12143,2244,47614,10842015.45,22670.64613349015,2023-03-04,2023-03-13,9,3.9211068105081117,21.218360071301248
CAMP_047,Email,All,168164,0.07659784496087153,12881,657,67,26554,246777.65,829.3426602395119,2023-06-13,2023-06-29,16,40.41704718417047,396.32835820895525
CAMP_048,Email,SMB,220174,0.01969805699128871,4337,881,91,21675,119380.59,450.7755017301038,2024-01-07,2024-02-24,48,24.602724177071508,238.1868131868132
CAMP_049,Email,Mid-Market,201655,0.13959981155934642,28151,2780,227,7300,1164521.83,15852.353835616437,2023-02-10,2023-03-01,19,2.6258992805755397,32.158590308370044
CAMP_050,Social Media,All,236630,0.033698178591049316,7974,761,146,37605,667376.23,1674.7007844701504,2023-07-05,2023-08-18,44,49.415243101182654,257.56849315068496
CAMP_051,Paid Search,SMB,48892,0.11758569909187597,5749,794,109,48328,107338.89,122.10497020360866,2023-03-28,2023-05-27,60,60.86649874055416,443.3761467889908
CAMP_052,Content Marketing,Mid-Market,178533,0.1103997580279276,19710,4484,556,46715,3090166.11,6514.9333404687995,2023-08-11,2023-08-23,12,10.418153434433542,84.01978417266187
CAMP_053,Email,Enterprise,120346,0.10419955794126934,12540,1548,210,6984,2973017.67,42468.981529209625,2023-05-30,2023-06-07,8,4.511627906976744,33.25714285714286
CAMP_054,Social Media,Mid-Market,346245,0.09459775592427327,32754,5995,1014,20672,5625644.47,27113.83741292569,2023-04-02,2023-05-26,54,3.448206839032527,20.386587771203157
CAMP_055,Paid Search,All,93149,0.12449945785784067,11597,2693,339,2636,1605325.6,60800.06069802732,2023-12-26,2024-02-08,44,0.9788340141106573,7.775811209439528
CAMP_056,Social Media,All,472596,0.12119865593445564,57278,14099,1611,39572,5480451.79,13749.317168705144,2023-04-06,2023-05-23,47,2.806723881126321,24.563625077591556
CAMP_057,Webinar,Enterprise,247462,0.1113989218546686,27567,2658,513,21571,8205120.53,37937.73830605906,2023-03-14,2023-03-25,11,8.115500376222723,42.04873294346979
