invoice_month,region,mrr
2021-01,East,25534.32
2021-01,International,12678.49
2021-01,North,19982.59
2021-01,South,17299.56
2021-01,West,23478.88
2021-02,East,45732.4
2021-02,International,26505.11
2021-02,North,48338.12
2021-02,South,34275.36
2021-02,West,35313.31
2021-03,East,64638.41
2021-03,International,48753.64
2021-03,North,75856.99
2021-03,South,59338.3
2021-03,West,49147.45
2021-04,East,80853.0
2021-04,International,58263.18
2021-04,North,99643.77
2021-04,South,72974.18
2021-04,West,63667.53
2021-05,East,99323.83
2021-05,International,75449.72
2021-05,North,126251.58
2021-05,South,91421.62
2021-05,West,82007.69
2021-06,East,118131.17
2021-06,International,87826.94
2021-06,North,144988.65
2021-06,South,111614.67
2021-06,West,97085.32
2021-07,East,138779.66
2021-07,International,104155.24
2021-07,North,172284.16
2021-07,South,127187.4
2021-07,West,114051.57
2021-08,East,162333.15
2021-08,International,114246.87
2021-08,North,194066.83
2021-08,South,146679.62
2021-08,West,134481.52
2021-09,East,170608.71
2021-09,International,129888.36
2021-09,North,212888.97
2021-09,South,157855.89
2021-09,West,152732.39
2021-10,East,199272.19
2021-10,International,151002.68
2021-10,North,236086.63
2021-10,South,182631.34
2021-10,West,169481.43
2021-11,East,219004.2
2021-11,International,162358.2
2021-11,North,251930.81
2021-11,South,200250.71
2021-11,West,184111.24
2021-12,East,234805.2
2021-12,International,177392.5
2021-12,North,270358.54
2021-12,South,216722.88
2021-12,West,205458.16
2022-01,East,258101.66
2022-01,International,188955.02
2022-01,North,297531.16
2022-01,South,243669.12
2022-01,West,223103.7
2022-02,East,271717.12
2022-02,International,198776.57
2022-02,North,319868.27
2022-02,South,256064.87
2022-02,West,231405.33
2022-03,East,291716.44
2022-03,International,215084.1
2022-03,North,335720.06
2022-03,South,275095.39
2022-03,West,253009.76
2022-04,East,308009.49
2022-04,International,228463.62
2022-04,North,356881.35
2022-04,South,291578.71
2022-04,West,267801.16
2022-05,East,329450.15
2022-05,International,239658.66
2022-05,North,384271.64
2022-05,South,305008.84
2022-05,West,296941.21
2022-06,East,345219.28
2022-06,International,261248.7
2022-06,North,414088.29
2022-06,South,319710.91
2022-06,West,317311.03
2022-07,East,364812.79
2022-07,International,270691.55
2022-07,North,430273.73
2022-07,South,335170.29
2022-07,West,336983.9
2022-08,East,379019.76
2022-08,International,282606.16
2022-08,North,449753.35
2022-08,South,359001.6
2022-08,West,361133.59
2022-09,East,395747.55
2022-09,International,292628.66
2022-09,North,476880.43
2022-09,South,378577.93
2022-09,West,382051.72
2022-10,East,423115.65
2022-10,International,308439.27999999997
2022-10,North,498250.81
2022-10,South,406388.65
2022-10,West,398646.55
2022-11,East,434811.59
2022-11,International,321138.21
2022-11,North,515316.38
2022-11,South,426947.1
2022-11,West,413225.88
2022-12,East,459449.44
2022-12,International,336416.71
2022-12,North,536274.86
2022-12,South,445118.79
2022-12,West,421744.83
2023-01,East,473619.74
2023-01,International,347118.92
2023-01,North,555981.35
2023-01,South,461244.1
2023-01,West,443450.11
2023-02,East,493862.9
2023-02,International,359163.79
2023-02,North,578889.11
2023-02,South,481002.45
2023-02,West,463904.18
2023-03,East,511567.8
2023-03,International,383189.07
2023-03,North,601694.15
2023-03,South,496845.02
2023-03,West,485549.78
2023-04,East,539628.21
2023-04,International,384129.49
2023-04,North,627015.97
2023-04,South,512615.75
2023-04,West,513311.99
2023-05,East,546025.4
2023-05,International,408513.85
2023-05,North,658244.22
2023-05,South,538885.22
2023-05,West,523681.08
2023-06,East,571223.33
2023-06,International,418021.21
2023-06,North,683545.42
2023-06,South,565920.35
2023-06,West,548192.91
2023-07,East,579992.45
2023-07,International,432446.9
2023-07,North,700201.56
2023-07,South,591764.99
2023-07,West,563193.81
2023-08,East,595757.2
2023-08,International,456289.28
2023-08,North,727997.55
2023-08,South,609112.73
2023-08,West,576441.66
2023-09,East,618958.75
2023-09,International,465158.86
2023-09,North,754866.2
2023-09,South,625847.66
2023-09,West,594117.81
2023-10,East,642249.39
2023-10,International,484756.17
2023-10,North,772216.64
2023-10,South,646514.45
2023-10,West,622413.65
2023-11,East,649337.07
2023-11,International,498930.57
2023-11,North,796943.21
2023-11,South,663251.61
2023-11,West,630861.51
2023-12,East,672273.17
2023-12,International,516595.41
2023-12,North,810762.5
2023-12,South,676346.3
2023-12,West,663583.18
2024-01,East,687019.29
2024-01,International,528482.53
2024-01,North,836433.38
2024-01,South,696994.47
2024-01,West,682126.31
2024-02,East,704376.53
2024-02,International,547394.16
2024-02,North,873383.42
2024-02,South,714483.01
2024-02,West,700064.34
2024-03,East,723109.5
2024-03,International,557957.28
2024-03,North,897163.9
2024-03,South,739938.4
2024-03,West,724912.16
2024-04,East,739655.46
2024-04,International,566061.85
2024-04,North,910487.73
2024-04,South,751129.43
2024-04,West,746089.56
2024-05,East,763198.54
2024-05,International,588376.37
2024-05,North,935976.23
2024-05,South,777338.8
2024-05,West,760984.85
2024-06,East,763716.3
2024-06,International,585148.22
2024-06,North,937177.73
2024-06,South,778225.43
2024-06,West,755236.75
