invoice_month,segment,mrr
2021-01,Enterprise,17758.35
2021-01,Mid-Market,25285.29
2021-01,SMB,55930.2
2021-02,Enterprise,30470.22
2021-02,Mid-Market,57394.12
2021-02,SMB,102299.96
2021-03,Enterprise,49064.43
2021-03,Mid-Market,92719.18
2021-03,SMB,155951.18
2021-04,Enterprise,62858.25
2021-04,Mid-Market,114542.56
2021-04,SMB,198000.85
2021-05,Enterprise,76832.52
2021-05,Mid-Market,147726.48
2021-05,SMB,249895.44
2021-06,Enterprise,91890.53
2021-06,Mid-Market,171038.59
2021-06,SMB,296717.63
2021-07,Enterprise,104703.51
2021-07,Mid-Market,204214.66
2021-07,SMB,347539.86
2021-08,Enterprise,117774.7
2021-08,Mid-Market,237349.92
2021-08,SMB,396683.37
2021-09,Enterprise,130721.76
2021-09,Mid-Market,259022.45
2021-09,SMB,434230.11
2021-10,Enterprise,145618.29
2021-10,Mid-Market,299761.15
2021-10,SMB,493094.83
2021-11,Enterprise,157603.4
2021-11,Mid-Market,318235.29
2021-11,SMB,541816.47
2021-12,Enterprise,176117.99
2021-12,Mid-Market,343422.39
2021-12,SMB,585196.9
2022-01,Enterprise,189845.84
2022-01,Mid-Market,371598.99
2022-01,SMB,649915.83
2022-02,Enterprise,192148.38
2022-02,Mid-Market,394102.62
2022-02,SMB,691581.16
2022-03,Enterprise,211798.36
2022-03,Mid-Market,423328.46
2022-03,SMB,735498.93
2022-04,Enterprise,228678.03
2022-04,Mid-Market,437666.48
2022-04,SMB,786389.82
2022-05,Enterprise,243315.76
2022-05,Mid-Market,465665.1
2022-05,SMB,846349.64
2022-06,Enterprise,268212.15
2022-06,Mid-Market,490232.0
2022-06,SMB,899134.06
2022-07,Enterprise,283799.93
2022-07,Mid-Market,514769.79
2022-07,SMB,939362.54
2022-08,Enterprise,292975.26
2022-08,Mid-Market,547929.58
2022-08,SMB,990609.62
2022-09,Enterprise,311224.65
2022-09,Mid-Market,572148.26
2022-09,SMB,1042513.38
2022-10,Enterprise,330530.1
2022-10,Mid-Market,609620.52
2022-10,SMB,1094690.32
2022-11,Enterprise,332806.95
2022-11,Mid-Market,630337.33
2022-11,SMB,1148294.88
2022-12,Enterprise,349022.37
2022-12,Mid-Market,663114.43
2022-12,SMB,1186867.83
2023-01,Enterprise,358743.99
2023-01,Mid-Market,694979.41
2023-01,SMB,1227690.82
2023-02,Enterprise,374838.71
2023-02,Mid-Market,717022.78
2023-02,SMB,1284960.94
2023-03,Enterprise,380895.77999999997
2023-03,Mid-Market,758467.22
2023-03,SMB,1339482.82
2023-04,Enterprise,396982.33
2023-04,Mid-Market,786650.66
2023-04,SMB,1393068.42
2023-05,Enterprise,415798.42
2023-05,Mid-Market,816421.83
2023-05,SMB,1443129.52
2023-06,Enterprise,434291.43
2023-06,Mid-Market,853843.27
2023-06,SMB,1498768.52
2023-07,Enterprise,442068.41
2023-07,Mid-Market,881881.13
2023-07,SMB,1543650.17
2023-08,Enterprise,456458.88
2023-08,Mid-Market,914276.0
2023-08,SMB,1594863.54
2023-09,Enterprise,467555.39
2023-09,Mid-Market,943882.25
2023-09,SMB,1647511.64
2023-10,Enterprise,481553.11
2023-10,Mid-Market,968628.11
2023-10,SMB,1717969.08
2023-11,Enterprise,488671.91
2023-11,Mid-Market,990073.57
2023-11,SMB,1760578.49
2023-12,Enterprise,510062.94
2023-12,Mid-Market,1016511.46
2023-12,SMB,1812986.16
2024-01,Enterprise,526776.15
2024-01,Mid-Market,1046425.06
2024-01,SMB,1857854.77
2024-02,Enterprise,537980.4
2024-02,Mid-Market,1079246.86
2024-02,SMB,1922474.2
2024-03,Enterprise,553899.87
2024-03,Mid-Market,1114826.3
2024-03,SMB,1974355.07
2024-04,Enterprise,568447.02
2024-04,Mid-Market,1134908.61
2024-04,SMB,2010068.4
2024-05,Enterprise,583293.25
2024-05,Mid-Market,1164757.4
2024-05,SMB,2077824.14
2024-06,Enterprise,581501.13
2024-06,Mid-Market,1166034.71
2024-06,SMB,2071968.59
