ticket_id,customer_id,category,priority,created_date,resolved_date,resolution_time_hours,satisfaction_score,status,ticket_month
TKT_000001,CUST_03832,Account,High,2022-12-21,2022-12-21,14.0,4.0,Resolved,2022-12
TKT_000002,CUST_07010,Bug Report,Low,2023-02-14,2023-02-16,65.0,3.0,Resolved,2023-02
TKT_000003,CUST_08664,Feature Request,Medium,2023-05-18,2023-05-19,38.0,4.0,Resolved,2023-05
TKT_000004,CUST_03030,Bug Report,High,2024-05-28,2024-05-28,12.0,4.0,Resolved,2024-05
TKT_000005,CUST_02667,Account,Critical,2023-11-23,2023-11-23,1.0,5.0,Resolved,2023-11
TKT_000006,CUST_02484,Feature Request,High,2024-02-23,2024-02-23,11.0,4.0,Resolved,2024-02
TKT_000007,CUST_03949,Feature Request,Low,2022-07-11,2022-07-13,48.0,3.0,Resolved,2022-07
TKT_000008,CUST_07116,Technical,Medium,2022-03-05,2022-03-06,30.0,4.0,Resolved,2022-03
TKT_000009,CUST_04466,Billing,Low,2024-05-23,,,,Open,2024-05
TKT_000010,CUST_04407,Feature Request,Medium,2024-01-13,2024-01-13,23.0,4.0,Resolved,2024-01
TKT_000011,CUST_08976,Feature Request,High,2024-01-18,,,,Open,2024-01
TKT_000012,CUST_04025,Billing,High,2024-04-10,2024-04-10,4.0,4.0,Resolved,2024-04
TKT_000013,CUST_01492,Billing,Low,2023-02-25,2023-02-27,59.0,3.0,Resolved,2023-02
TKT_000014,CUST_00986,Bug Report,High,2024-05-18,2024-05-18,23.0,2.0,Resolved,2024-05
TKT_000015,CUST_01695,Billing,Medium,2023-09-07,2023-09-08,25.0,3.0,Resolved,2023-09
TKT_000016,CUST_05968,Billing,Medium,2024-05-26,2024-05-27,40.0,3.0,Resolved,2024-05
TKT_000017,CUST_09260,Technical,Medium,2024-02-19,2024-02-19,8.0,4.0,Resolved,2024-02
TKT_000018,CUST_02700,Technical,Low,2022-10-21,2022-10-23,69.0,4.0,Resolved,2022-10
TKT_000019,CUST_04991,Billing,Critical,2024-01-24,2024-01-24,5.0,4.0,Resolved,2024-01
TKT_000020,CUST_07648,Bug Report,Medium,2022-07-02,2022-07-03,39.0,2.0,Resolved,2022-07
TKT_000021,CUST_08790,Technical,Low,2023-07-17,2023-07-18,40.0,4.0,Resolved,2023-07
TKT_000022,CUST_01764,Account,Medium,2022-12-15,2022-12-16,45.0,3.0,Resolved,2022-12
TKT_000023,CUST_01822,Feature Request,Medium,2024-05-10,2024-05-11,39.0,3.0,Resolved,2024-05
TKT_000024,CUST_03906,Feature Request,Medium,2022-08-08,2022-08-08,20.0,5.0,Resolved,2022-08
TKT_000025,CUST_03908,Billing,Medium,2023-12-23,2023-12-24,26.0,3.0,Resolved,2023-12
TKT_000026,CUST_06099,Technical,Low,2023-03-28,2023-03-29,40.0,4.0,Resolved,2023-03
TKT_000027,CUST_08048,Technical,Medium,2023-09-20,2023-09-21,30.0,4.0,Resolved,2023-09
TKT_000028,CUST_01337,Feature Request,Medium,2023-08-03,2023-08-05,48.0,3.0,Resolved,2023-08
TKT_000029,CUST_08196,Account,Critical,2023-12-10,2023-12-10,2.0,4.0,Resolved,2023-12
TKT_000030,CUST_06653,Technical,Medium,2022-05-04,2022-05-04,14.0,5.0,Resolved,2022-05
TKT_000031,CUST_01331,Billing,Medium,2022-08-23,2022-08-24,44.0,3.0,Resolved,2022-08
TKT_000032,CUST_05782,Technical,Medium,2023-04-03,2023-04-04,31.0,4.0,Resolved,2023-04
TKT_000033,CUST_06937,Billing,High,2023-08-05,2023-08-05,7.0,4.0,Resolved,2023-08
TKT_000034,CUST_04756,Feature Request,Medium,2022-01-08,,,,Open,2022-01
TKT_000035,CUST_07016,Billing,Low,2024-05-25,2024-05-27,55.0,3.0,Resolved,2024-05
TKT_000036,CUST_04443,Technical,High,2024-01-27,2024-01-27,15.0,4.0,Resolved,2024-01
TKT_000037,CUST_03099,Billing,Low,2024-02-22,2024-02-24,59.0,3.0,Resolved,2024-02
TKT_000038,CUST_04801,Billing,High,2022-01-11,2022-01-11,8.0,4.0,Resolved,2022-01
TKT_000039,CUST_01939,Feature Request,Medium,2023-01-04,2023-01-05,39.0,3.0,Resolved,2023-01
TKT_000040,CUST_00994,Feature Request,Medium,2022-02-18,2022-02-18,20.0,4.0,Resolved,2022-02
TKT_000041,CUST_04178,Technical,Medium,2024-02-10,2024-02-12,48.0,3.0,Resolved,2024-02
TKT_000042,CUST_01445,Technical,Medium,2024-05-17,2024-05-17,21.0,4.0,Resolved,2024-05
TKT_000043,CUST_03509,Feature Request,Medium,2022-08-14,2022-08-15,47.0,3.0,Resolved,2022-08
TKT_000044,CUST_07552,Billing,Medium,2022-01-01,2022-01-02,31.0,3.0,Resolved,2022-01
TKT_000045,CUST_07026,Billing,Low,2022-11-07,2022-11-09,58.0,3.0,Resolved,2022-11
TKT_000046,CUST_09678,Technical,Critical,2024-05-13,2024-05-13,12.0,3.0,Resolved,2024-05
TKT_000047,CUST_05279,Bug Report,Medium,2023-06-24,2023-06-25,45.0,2.0,Resolved,2023-06
TKT_000048,CUST_00680,Feature Request,Critical,2023-05-27,2023-05-27,9.0,3.0,Resolved,2023-05
