customer_id,churn_date,churn_reason,last_activity_date,days_since_last_activity
CUST_00001,2024-06-23,Price,2024-05-11,43
CUST_00008,2024-06-05,Competitor,2024-05-29,7
CUST_00011,2024-06-04,Product Gap,2024-04-26,39
CUST_00017,2024-06-13,Product Gap,2024-04-28,46
CUST_00023,2024-06-21,Support Issues,2024-05-30,22
CUST_00033,2024-06-16,Price,2024-04-22,55
CUST_00039,2024-06-22,Business Closure,2024-05-31,22
CUST_00040,2024-06-25,Competitor,2024-06-14,11
CUST_00042,2024-06-19,Price,2024-05-05,45
CUST_00043,2024-06-13,Competitor,2024-05-04,40
CUST_00044,2024-06-04,Competitor,2024-05-01,34
CUST_00046,2024-06-07,Price,2024-05-21,17
CUST_00047,2024-06-27,Price,2024-05-11,47
CUST_00048,2024-06-23,Business Closure,2024-04-26,58
CUST_00049,2024-07-01,Support Issues,2024-06-15,16
CUST_00050,2024-06-26,Competitor,2024-06-06,20
CUST_00058,2024-06-07,Price,2024-05-29,9
CUST_00063,2024-06-23,Price,2024-06-12,11
CUST_00068,2024-06-11,Product Gap,2024-05-30,12
CUST_00069,2024-06-26,Price,2024-06-19,7
CUST_00070,2024-06-07,Support Issues,2024-05-07,31
CUST_00071,2024-06-17,Product Gap,2024-06-10,7
CUST_00076,2024-06-07,Business Closure,2024-04-19,49
CUST_00078,2024-06-30,Support Issues,2024-06-22,8
CUST_00088,2024-06-11,Support Issues,2024-04-23,49
CUST_00090,2024-06-14,Competitor,2024-04-22,53
CUST_00100,2024-06-19,Product Gap,2024-04-23,57
CUST_00102,2024-06-11,Competitor,2024-05-25,17
CUST_00104,2024-06-02,Product Gap,2024-04-20,43
CUST_00105,2024-06-23,Business Closure,2024-04-27,57
CUST_00114,2024-06-18,Business Closure,2024-05-23,26
CUST_00117,2024-07-01,Support Issues,2024-06-14,17
CUST_00123,2024-06-21,Support Issues,2024-06-07,14
CUST_00131,2024-06-26,Support Issues,2024-06-02,24
CUST_00133,2024-06-16,Competitor,2024-05-29,18
CUST_00136,2024-06-16,Price,2024-05-19,28
CUST_00138,2024-06-22,Business Closure,2024-06-01,21
CUST_00144,2024-06-04,Product Gap,2024-04-25,40
CUST_00150,2024-06-14,Price,2024-05-16,29
CUST_00152,2024-06-25,Competitor,2024-06-15,10
CUST_00153,2024-06-18,Price,2024-05-10,39
CUST_00156,2024-06-04,Product Gap,2024-05-21,14
CUST_00170,2024-06-13,Support Issues,2024-04-28,46
CUST_00177,2024-06-05,Business Closure,2024-04-15,51
CUST_00180,2024-06-21,Support Issues,2024-06-06,15
CUST_00192,2024-06-16,Support Issues,2024-04-23,54
CUST_00198,2024-06-26,Support Issues,2024-06-09,17
CUST_00202,2024-06-17,Competitor,2024-04-18,60
CUST_00206,2024-06-29,Support Issues,2024-05-31,29
CUST_00211,2024-07-01,Price,2024-05-24,38
CUST_00214,2024-06-05,Business Closure,2024-04-30,36
CUST_00215,2024-06-07,Price,2024-05-08,30
CUST_00217,2024-06-08,Competitor,2024-05-09,30
CUST_00226,2024-06-28,Price,2024-06-13,15
CUST_00230,2024-06-06,Price,2024-04-09,58
CUST_00233,2024-06-24,Competitor,2024-05-12,43
CUST_00234,2024-06-08,Price,2024-04-16,53
CUST_00236,2024-06-12,Competitor,2024-05-02,41
CUST_00240,2024-06-14,Support Issues,2024-05-16,29
CUST_00242,2024-06-09,Business Closure,2024-05-20,20
CUST_00245,2024-06-28,Competitor,2024-06-18,10
CUST_00247,2024-06-13,Business Closure,2024-05-16,28
CUST_00252,2024-06-14,Price,2024-06-03,11
CUST_00261,2024-06-08,Competitor,2024-05-19,20
CUST_00265,2024-06-12,Support Issues,2024-04-17,56
CUST_00269,2024-06-23,Business Closure,2024-05-02,52
CUST_00270,2024-06-06,Price,2024-04-19,48
CUST_00275,2024-06-24,Price,2024-06-15,9
CUST_00281,2024-06-28,Product Gap,2024-05-31,28
CUST_00287,2024-06-15,Support Issues,2024-06-06,9
CUST_00294,2024-06-07,Competitor,2024-05-01,37
CUST_00301,2024-06-27,Price,2024-04-28,60
CUST_00302,2024-06-25,Competitor,2024-05-26,30
CUST_00307,2024-06-27,Price,2024-06-20,7
CUST_00312,2024-07-01,Price,2024-05-29,33
CUST_00321,2024-06-25,Competitor,2024-06-13,12
CUST_00322,2024-06-25,Support Issues,2024-05-30,26
CUST_00328,2024-06-15,Price,2024-04-22,54
CUST_00329,2024-06-21,Price,2024-06-03,18
CUST_00331,2024-06-10,Price,2024-05-30,11
CUST_00332,2024-06-12,Product Gap,2024-05-06,37
CUST_00334,2024-06-14,Competitor,2024-04-26,49
CUST_00335,2024-06-03,Competitor,2024-04-28,36
CUST_00337,2024-06-26,Business Closure,2024-04-28,59
CUST_00338,2024-06-05,Support Issues,2024-05-11,25
CUST_00343,2024-06-18,Product Gap,2024-04-27,52
CUST_00349,2024-06-16,Competitor,2024-05-20,27
CUST_00351,2024-06-29,Price,2024-05-05,55
CUST_00353,2024-06-23,Price,2024-06-12,11
CUST_00357,2024-06-05,Competitor,2024-04-27,39
CUST_00358,2024-06-05,Business Closure,2024-05-10,26
CUST_00370,2024-06-11,Product Gap,2024-05-27,15
CUST_00371,2024-06-06,Competitor,2024-04-28,39
CUST_00372,2024-06-27,Competitor,2024-05-06,52
CUST_00385,2024-06-04,Competitor,2024-05-06,29
CUST_00386,2024-06-13,Support Issues,2024-04-28,46
CUST_00389,2024-06-26,Product Gap,2024-04-30,57
CUST_00398,2024-06-02,Product Gap,2024-05-20,13
CUST_00403,2024-06-23,Competitor,2024-04-29,55
CUST_00408,2024-06-14,Price,2024-06-03,11
CUST_00413,2024-06-13,Support Issues,2024-05-19,25
CUST_00420,2024-06-18,Business Closure,2024-04-21,58
CUST_00422,2024-06-20,Business Closure,2024-06-13,7
CUST_00436,2024-06-11,Support Issues,2024-05-27,15
CUST_00440,2024-06-25,Support Issues,2024-05-24,32
CUST_00441,2024-06-03,Competitor,2024-04-24,40
CUST_00442,2024-06-06,Price,2024-04-24,43
CUST_00443,2024-06-08,Product Gap,2024-04-20,49
CUST_00446,2024-06-07,Competitor,2024-04-21,47
CUST_00447,2024-06-12,Competitor,2024-06-02,10
CUST_00450,2024-06-23,Product Gap,2024-04-29,55
CUST_00454,2024-06-30,Competitor,2024-05-21,40
CUST_00456,2024-06-27,Price,2024-05-24,34
CUST_00457,2024-06-12,Support Issues,2024-06-02,10
CUST_00472,2024-06-12,Price,2024-04-21,52
CUST_00473,2024-06-14,Competitor,2024-05-10,35
CUST_00479,2024-06-17,Competitor,2024-05-15,33
CUST_00485,2024-06-12,Competitor,2024-05-08,35
CUST_00490,2024-06-20,Price,2024-06-07,13
CUST_00497,2024-06-15,Support Issues,2024-05-13,33
CUST_00505,2024-06-11,Price,2024-04-25,47
CUST_00513,2024-06-16,Competitor,2024-06-05,11
CUST_00515,2024-06-20,Support Issues,2024-04-27,54
CUST_00525,2024-06-04,Competitor,2024-05-16,19
CUST_00529,2024-06-20,Price,2024-05-15,36
CUST_00533,2024-06-08,Price,2024-05-30,9
CUST_00541,2024-06-13,Price,2024-05-15,29
CUST_00546,2024-06-25,Product Gap,2024-06-03,22
CUST_00552,2024-06-25,Product Gap,2024-05-12,44
