campaign_id,channel,target_segment,impressions,ctr,clicks,leads,conversions,cost,revenue_generated,roi,start_date,end_date
CAMP_001,Social Media,Mid-Market,345452,0.0148,5112,1233,153,9835,806266.77,8097.93,2023-07-18,2023-08-31
CAMP_002,Paid Search,Mid-Market,67657,0.0626,4235,758,44,44885,222139.5,394.91,2023-06-20,2023-08-09
CAMP_003,Webinar,All,356258,0.0143,5094,1135,106,36260,375178.78,934.69,2023-05-11,2023-06-03
CAMP_004,Email,Mid-Market,282220,0.0798,22521,3370,376,24236,2073326.81,8454.74,2023-06-13,2023-07-20
CAMP_005,Paid Search,All,261153,0.0937,24470,1231,211,8103,976216.89,11947.6,2023-06-14,2023-07-02
CAMP_006,Social Media,SMB,64330,0.0736,4734,333,27,20222,35505.32,75.58,2023-08-23,2023-10-02
CAMP_007,Social Media,All,364201,0.0298,10853,1385,259,43290,841739.58,1844.42,2023-04-01,2023-05-30
CAMP_008,Social Media,SMB,162821,0.1072,17454,1711,133,42569,147911.83,247.46,2023-12-01,2023-12-25
CAMP_009,Webinar,SMB,319277,0.1012,32310,3317,359,24045,349890.67,1355.15,2023-07-25,2023-08-28
CAMP_010,Content Marketing,Mid-Market,55705,0.0631,3514,230,25,42373,107028.0,152.59,2023-07-19,2023-08-06
CAMP_011,Webinar,All,320677,0.1048,33606,7405,976,24866,4188909.78,16745.93,2023-05-12,2023-05-25
CAMP_012,Social Media,All,210876,0.1121,23639,1214,150,32525,614886.11,1790.5,2023-01-24,2023-03-15
CAMP_013,Webinar,Mid-Market,148412,0.0219,3250,481,47,5634,229721.29,3977.41,2023-09-18,2023-10-18
CAMP_014,Webinar,Mid-Market,62473,0.1259,7865,813,154,35700,618301.99,1631.94,2023-09-27,2023-11-10
CAMP_015,Paid Search,Enterprise,37417,0.038,1421,246,38,44637,615360.45,1278.59,2023-01-23,2023-02-21
CAMP_016,Social Media,All,9737,0.058,564,50,2,8474,7264.73,-14.27,2023-09-19,2023-10-15
CAMP_017,Content Marketing,SMB,456882,0.1417,64740,14796,1975,10986,2778750.0,25193.56,2023-01-28,2023-03-21
CAMP_018,Paid Search,Enterprise,95627,0.0797,7621,519,80,13074,989434.58,7467.96,2023-03-12,2023-04-13
CAMP_019,Social Media,All,449312,0.0147,6604,434,68,11679,299102.4,2461.03,2023-09-11,2023-10-25
CAMP_020,Email,Enterprise,331747,0.0147,4876,1101,169,42498,2989002.24,6933.28,2023-02-01,2023-03-26
CAMP_021,Email,Mid-Market,213733,0.0521,11135,1452,271,34968,1275159.58,3546.65,2023-01-24,2023-02-07
CAMP_022,Social Media,Mid-Market,360401,0.1439,51861,11637,746,42345,3452295.72,8052.78,2023-05-20,2023-07-13
CAMP_023,Email,Mid-Market,48516,0.1261,6117,480,39,39459,156834.06,297.46,2023-05-13,2023-05-27
CAMP_024,Webinar,Enterprise,328200,0.0219,7187,1270,239,24517,3060718.68,12384.07,2023-11-12,2023-11-27
CAMP_025,Paid Search,SMB,69506,0.0889,6179,328,60,43064,61457.14,42.71,2023-09-10,2023-10-12
CAMP_026,Content Marketing,Enterprise,316153,0.0975,30824,7616,710,22536,11560786.0,51199.19,2024-01-05,2024-03-05
CAMP_027,Paid Search,Enterprise,458116,0.0561,25700,2707,530,27356,7052576.74,25680.73,2023-05-27,2023-07-16
CAMP_028,Email,SMB,487498,0.0447,21791,5215,702,46507,965873.83,1976.84,2023-01-25,2023-02-04
