usage_id,customer_id,feature,usage_count,last_access_date,session_duration_minutes,month_year
USG_000001,CUST_07016,Analytics,22,2023-02-16,10.6,2023-02
USG_000002,CUST_06781,Alerts,54,2023-10-02,101.2,2023-10
USG_000003,CUST_02359,Alerts,15,2023-06-19,35.2,2023-06
USG_000004,CUST_01291,Dashboard,6,2023-12-09,17.9,2023-12
USG_000005,CUST_09511,Reports,42,2023-03-30,10.0,2023-03
USG_000006,CUST_08050,Reports,7,2023-04-30,43.5,2023-04
USG_000007,CUST_04764,Analytics,41,2023-05-06,10.1,2023-05
USG_000008,CUST_04165,Dashboard,42,2023-04-15,10.3,2023-04
USG_000009,CUST_03450,Alerts,53,2023-08-16,16.4,2023-08
USG_000010,CUST_04701,Analytics,50,2023-01-14,110.3,2023-01
USG_000011,CUST_03851,Dashboard,9,2023-08-08,11.9,2023-08
USG_000012,CUST_07120,Analytics,18,2024-04-04,10.5,2024-04
USG_000013,CUST_08634,API,12,2023-10-17,19.6,2023-10
USG_000014,CUST_02781,Dashboard,10,2023-02-17,6.6,2023-02
USG_000015,CUST_01091,Dashboard,33,2023-08-04,26.7,2023-08
USG_000016,CUST_03098,Analytics,8,2023-12-10,9.7,2023-12
USG_000017,CUST_09427,Integrations,22,2023-12-30,90.6,2023-12
USG_000018,CUST_07843,Dashboard,16,2023-10-23,17.5,2023-10
USG_000019,CUST_02470,Dashboard,10,2023-12-01,46.3,2023-12
USG_000020,CUST_06238,Reports,35,2023-08-16,17.6,2023-08
USG_000021,CUST_01209,Dashboard,17,2023-10-20,39.9,2023-10
USG_000022,CUST_06135,Export,46,2023-09-24,22.5,2023-09
USG_000023,CUST_06906,Dashboard,7,2023-01-13,15.3,2023-01
USG_000024,CUST_03797,Dashboard,7,2023-06-23,27.0,2023-06
USG_000025,CUST_05952,Reports,28,2024-03-29,14.6,2024-03
USG_000026,CUST_07126,Analytics,13,2023-11-29,28.0,2023-11
USG_000027,CUST_05224,Reports,9,2023-01-10,10.6,2023-01
USG_000028,CUST_08569,API,17,2023-01-15,6.4,2023-01
USG_000029,CUST_02433,Reports,9,2024-02-19,31.2,2024-02
USG_000030,CUST_06249,API,23,2023-08-16,3.0,2023-08
USG_000031,CUST_09659,Export,8,2023-01-19,41.8,2023-01
USG_000032,CUST_08502,Reports,14,2023-01-22,27.2,2023-01
USG_000033,CUST_05554,Export,47,2023-05-21,30.5,2023-05
USG_000034,CUST_09764,Reports,8,2023-05-25,7.1,2023-05
USG_000035,CUST_00636,API,28,2023-09-19,111.1,2023-09
USG_000036,CUST_04180,Dashboard,6,2024-01-05,36.8,2024-01
USG_000037,CUST_09616,Analytics,10,2023-06-25,7.2,2023-06
USG_000038,CUST_07587,Analytics,16,2023-06-07,22.1,2023-06
USG_000039,CUST_09683,Analytics,34,2023-01-13,91.2,2023-01
USG_000040,CUST_06392,Dashboard,20,2023-05-23,26.0,2023-05
USG_000041,CUST_06289,Dashboard,17,2023-03-18,103.9,2023-03
USG_000042,CUST_08612,Reports,12,2023-05-04,17.7,2023-05
USG_000043,CUST_05529,Analytics,8,2023-02-08,19.5,2023-02
USG_000044,CUST_06387,Alerts,25,2024-05-23,106.8,2024-05
USG_000045,CUST_08233,Alerts,6,2023-04-02,23.5,2023-04
USG_000046,CUST_09770,Dashboard,40,2023-07-13,19.1,2023-07
USG_000047,CUST_08499,Export,6,2023-05-14,17.9,2023-05
USG_000048,CUST_03463,Dashboard,22,2023-04-17,21.2,2023-04
USG_000049,CUST_01804,Dashboard,7,2023-11-02,6.4,2023-11
USG_000050,CUST_06686,Export,12,2023-12-12,46.2,2023-12
USG_000051,CUST_05580,Analytics,17,2023-05-01,16.3,2023-05
USG_000052,CUST_05227,Analytics,5,2023-12-21,13.0,2023-12
USG_000053,CUST_00346,API,16,2023-08-01,26.6,2023-08
USG_000054,CUST_08167,API,8,2024-01-25,9.5,2024-01
USG_000055,CUST_00299,Analytics,39,2023-10-17,34.7,2023-10
USG_000056,CUST_06101,Analytics,10,2023-04-03,4.6,2023-04
USG_000057,CUST_08321,Dashboard,20,2023-09-10,4.5,2023-09
USG_000058,CUST_08022,Dashboard,9,2023-10-05,9.8,2023-10
USG_000059,CUST_07568,API,13,2024-02-02,17.1,2024-02
USG_000060,CUST_00855,Alerts,27,2023-11-10,2.7,2023-11
USG_000061,CUST_00605,Analytics,19,2023-03-16,11.9,2023-03
USG_000062,CUST_01072,Alerts,41,2023-08-11,14.7,2023-08
USG_000063,CUST_00497,Analytics,22,2023-10-03,39.3,2023-10
