feature,importance
churn_risk_score,7.221877254220297
is_basic_plan,0.70851948984794
plan_encoded,0.6174242002804944
total_tickets,0.45936268254730334
tickets_per_month,0.2923515981203856
revenue_per_day,0.20352025369176105
segment_encoded,0.13573293777022777
usage_per_day,0.12983880773068537
features_used,0.11340531843297208
engagement_score,0.10715256969691712
total_revenue,0.09691462562772661
has_low_engagement,0.040039116164364244
total_usage_count,0.036476316825940734
total_invoices,0.034288942496863914
avg_satisfaction_score,0.03026668705886017
tenure_days,0.028745502768311355
days_since_last_access,0.012933641599639605
is_smb,0.008561666895615584
region_encoded,0.0014658431520491724
