ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-01-01,111201.14352486013,89213.24060938186,116258.59767813304,111201.14352486013,111201.14352486013,-8292.428134266684,-8292.428134266684,-8292.428134266684,-8292.428134266684,-8292.428134266684,-8292.428134266684,0.0,0.0,0.0,102908.71539059345
2021-02-01,206806.14004172353,168691.78587512416,194414.83258273112,206806.14004172353,206806.14004172353,-25361.374126424857,-25361.374126424857,-25361.374126424857,-25361.374126424857,-25361.374126424857,-25361.374126424857,0.0,0.0,0.0,181444.76591529866
2021-03-01,293159.0400800127,287287.89288906514,313916.7987130432,293159.0400800127,293159.0400800127,6981.504701903142,6981.504701903142,6981.504701903142,6981.504701903142,6981.504701903142,6981.504701903142,0.0,0.0,0.0,300140.54478191584
2021-04-01,388764.03655097564,365379.5026944715,392286.3005906874,388764.03655097564,388764.03655097564,-9840.677304953086,-9840.677304953086,-9840.677304953086,-9840.677304953086,-9840.677304953086,-9840.677304953086,0.0,0.0,0.0,378923.35924602253
2021-05-01,481285.000904998,470409.36837190087,497791.6030205151,481285.000904998,481285.000904998,3688.1252918307573,3688.1252918307573,3688.1252918307573,3688.1252918307573,3688.1252918307573,3688.1252918307573,0.0,0.0,0.0,484973.1261968287
2021-06-01,576889.9974364995,527600.7619616188,553933.2148175472,576889.9974364995,576889.9974364995,-35952.85209043022,-35952.85209043022,-35952.85209043022,-35952.85209043022,-35952.85209043022,-35952.85209043022,0.0,0.0,0.0,540937.1453460692
2021-07-01,665071.5144858793,645566.8661674936,673238.8247457299,665071.5144858793,665071.5144858793,-5905.221793843108,-5905.221793843108,-5905.221793843108,-5905.221793843108,-5905.221793843108,-5905.221793843108,0.0,0.0,0.0,659166.2926920363
2021-08-01,756192.4153979608,740531.2199150881,766731.521730046,756192.4153979608,756192.4153979608,-2513.832472644805,-2513.832472644805,-2513.832472644805,-2513.832472644805,-2513.832472644805,-2513.832472644805,0.0,0.0,0.0,753678.582925316
2021-09-01,847313.3163100423,814576.278247496,841638.6056372414,847313.3163100423,847313.3163100423,-19184.925067353495,-19184.925067353495,-19184.925067353495,-19184.925067353495,-19184.925067353495,-19184.925067353495,0.0,0.0,0.0,828128.3912426888
2021-10-01,935494.8333676936,927858.388149059,953534.2015893618,935494.8333676936,935494.8333676936,4997.181506255696,4997.181506255696,4997.181506255696,4997.181506255696,4997.181506255696,4997.181506255696,0.0,0.0,0.0,940492.0148739492
2021-11-01,1026615.7343432396,1005555.8419513238,1032198.6982362214,1026615.7343432396,1026615.7343432396,-7942.4937585985845,-7942.4937585985845,-7942.4937585985845,-7942.4937585985845,-7942.4937585985845,-7942.4937585985845,0.0,0.0,0.0,1018673.240584641
2021-12-01,1114797.2513681,1089872.5581419049,1116034.4456811259,1114797.2513681,1114797.2513681,-12295.699966395514,-12295.699966395514,-12295.699966395514,-12295.699966395514,-12295.699966395514,-12295.699966395514,0.0,0.0,0.0,1102501.5514017045
